Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Shiver,Coldplay," So I look in your direction But you pay me no attention, do you? I know you don't listen to me 'Cos you say you see straight through me, don't you? And on and on From the moment I wake, to the moment I sleep I'll be there by your side; just you try and stop me I'll be waiting in line, just to see if you care  Oh�did you want me to change? Well I'll change for good And I want you to know that you'll always get your way I wanted to say�  Don't you shiver Shiver Shiver Sing it loud and clear I'll always be waiting for you  So you know how much I need you But you never even see me, do you? And is this my final chance of getting you? And on and on From the moment I wake, to the moment I sleep I'll be there by your side; just you try and stop me I'll be waiting in line, just to see if you care, if you care  Oh�did you want me to change? Well I'll change for good And I want you to know that you'll always get your way I wanted to say�  Don't you shiver Dont you Shiver Shiver Sing it loud and clear I'll always be waiting for you  Yeah I'll always be waiting for you Yeah I'll always be waiting for you Yeah I'll always be waiting for you, for you I will always be waiting�  And it's you I see but you don't see me And it's you I hear so loud and so clear I sing it loud and clear And I'll always be waiting for you  So I look in your direction But you pay me no attention And you know how much I need you But you never even see me",n,310,1.64,87.72,91.80,68.39,44.29,5.16,97.42,65.16,30.32,27.74,13.23,0.00,14.52,0.00,0.00,2.58,1.29,10.97,12.58,6.13,10.65,3.23,27.74,2.26,0.00,0.65,0.00,0.65,2.26,2.26,0.00,0.00,0.00,0.00,16.13,0.00,0.00,0.00,0.00,15.48,2.26,2.26,3.55,1.94,4.84,2.58,8.06,4.19,3.87,0.00,1.29,1.29,0.00,0.00,0.00,2.90,0.00,0.65,0.00,1.61,0.65,1.29,18.39,4.84,14.84,1.29,4.84,8.71,0.65,0.97,0.00,0.65,0.00,0.00,2.26,0.00,0.00,0.97,1.29,0.00,14.19,1.61,2.90,0.00,0.65,1.94,0.00,0.00,0.00,7.10,0.00,0.00
Sparks,Coldplay," Did I drive you away I know what you'll say You'll say, ""oh, sing one we know"" But I promise you this I'll always look out for you That's what I'll do  I say oh I say oh  My heart is yours It's you that I hold on to That's what I do And I know I was wrong But I won't let you down Oh yeah, oh yeah, oh yeah, yeah I will, yes I will  I said oh I cry oh  Yeah I saw sparks Yeah I saw sparks And I saw sparks Yeah I saw sparks Sing it out  La, la, la, la, oh� La, la, la, la, oh� La, la, la, la, oh� La, la, la, la, oh�",n,122,5.07,46.72,84.34,14.46,122.00,0.82,82.79,48.36,31.97,24.59,17.21,0.82,6.56,0.00,0.00,7.38,0.00,5.74,13.11,0.00,3.28,0.82,26.23,0.82,0.00,2.46,0.82,0.00,2.46,0.82,1.64,0.00,0.00,0.82,11.48,0.00,0.00,0.00,0.00,5.74,2.46,0.00,0.00,0.00,1.64,1.64,9.84,4.10,5.74,0.00,0.82,0.82,0.00,0.00,0.00,2.46,0.82,0.00,0.82,0.00,0.82,5.74,13.11,5.74,5.74,0.82,4.10,0.82,0.00,1.64,0.00,0.00,0.00,0.00,16.39,0.00,0.00,6.56,9.84,0.00,29.51,3.28,18.03,0.00,0.00,0.00,0.00,0.00,1.64,6.56,0.00,0.00
Spies,Coldplay," I awake to find no peace of mind I said how do you live As a fugitive? Down here, where I cannot see so clear I said what do I know? Show me the right way to go  And the spies came out of the water But you're feeling so bad 'cos you know And the spies hide out in every corner But you can't touch them no 'Cos they're all spies They're all spies  I awake to see that no one is free We're all fugitives - look at the way we live Down here, I cannot sleep from fear, no I said which way do I turn? Oh I forget everything I learn  And the spies came out of the water But you're feeling so bad 'cos you know And the spies hide out in every corner But you can't touch them no 'Cos they're all spies They're all spies  And if we don't hide here They're gonna find us And if we don't hide now They're gonna catch us when we sleep And if we don't hide here They're gonna find us  And the spies came out of the water But you're feeling so bad 'cos you know And the spies hide out in every corner But you can't touch them no 'Cos they're just spies  They're just spies They're just spies They're just spies They're just spies",n,230,8.67,77.00,88.68,13.90,57.50,2.61,91.30,61.74,16.52,14.78,5.22,3.91,4.35,0.00,1.30,1.74,5.22,9.13,10.43,7.39,13.48,6.09,23.04,3.91,0.43,2.17,0.43,3.48,2.61,0.87,1.74,0.43,0.00,0.00,16.52,0.00,0.00,0.00,0.00,18.26,4.78,3.04,1.30,1.30,4.35,6.09,6.09,2.17,1.30,2.61,3.04,0.87,0.87,0.00,1.30,8.70,3.91,0.00,0.87,0.00,3.91,2.61,19.57,1.30,13.48,3.91,8.70,0.87,0.43,0.00,0.00,0.43,0.00,0.00,1.74,0.00,1.30,0.00,0.43,0.00,15.22,0.00,1.30,0.00,0.00,1.30,0.00,0.43,0.00,12.17,0.00,0.00
Strawberry Swing,Coldplay,"They were sitting They were sitting on the strawberry swing Every moment was so precious They were sitting They were talking on the strawberry swing Everybody was for fighting Wouldn't wanna waste a thing Cold, cold water Bring me 'round Now my feet won't touch the ground Cold, cold water What ya say? When it's such It's such a perfect day It's such a perfect day I remember We were walking up to strawberry swing I can't wait 'til the morning Wouldn't wanna change a thing People moving all the time Inside a perfectly straight line Don't you wanna just curve away When it's such It's such a perfect day It's such a perfect day Ah� Now the sky could be blue I don't mind Without you it's a waste of time Could be blue I don't mind Without you it's a waste of time Well the sky could be blue Could be grey Without you I'm just miles away Well, the sky could be blue I don't mind Without you it's a waste of time",n,177,11.54,45.50,64.10,90.77,88.50,14.12,92.09,61.02,18.08,10.73,4.52,0.56,3.39,0.00,2.26,7.34,10.17,8.47,20.90,8.47,1.69,6.78,26.55,8.47,0.00,1.69,0.00,1.13,5.08,4.52,0.56,0.00,0.56,0.00,9.04,0.00,0.00,0.00,0.00,14.12,0.56,0.56,5.65,0.00,4.52,2.82,6.78,3.39,0.56,3.39,1.69,0.56,0.00,0.00,1.13,3.95,0.56,0.56,0.56,2.82,0.00,4.52,18.08,2.26,20.90,3.95,8.47,8.47,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.56,0.56,1.69,0.00,14.12,0.56,1.69,0.00,0.00,0.56,0.00,0.00,0.00,11.30,0.00,0.00
Such A Rush,Coldplay," Such a rush to do nothing at all Such a fuss to do nothing at all Such a rush to do nothing at all  Such a rush to get nowhere at all Such a fuss to do nothing at all Such a rush  And it's just like you said It's just like you said  Such a rush to do nothing at all Such a fuss to get nowhere at all Such a rush, such a rush   So slow down please Just slow down So slow down please Just slow down  Such a rush  Look at all the people Going after money Far too many people Looking for their money Everybody's out there Trying to get money Why can't you just tell me? Trying to get money, rush  Such a rush We all rush Such a rush  Such a rush",n,139,82.91,64.06,82.55,52.78,69.50,6.47,97.84,63.31,6.47,4.32,0.72,0.72,2.16,0.00,0.72,2.16,10.79,18.71,5.04,17.27,2.16,5.76,13.67,4.32,2.16,0.72,0.00,7.19,1.44,1.44,0.00,0.00,0.00,0.00,7.91,0.00,0.00,0.00,0.00,15.11,0.00,0.72,0.00,1.44,12.23,0.72,2.88,1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,7.91,0.72,1.44,2.88,2.88,0.00,1.44,10.07,0.72,25.18,12.95,11.51,3.60,0.00,0.00,0.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,1.44,0.00,0.00,0.72,0.00,0.00,0.00,2.88,0.00,0.00
The Escapist,Coldplay," And in the end We lie awake And we dream of making our escape And in the end We lie awake And we dream of making our escape Oooh...",n,29,68.40,99.00,47.93,25.77,29.00,0.00,86.21,55.17,20.69,20.69,0.00,20.69,0.00,0.00,0.00,0.00,6.90,13.79,0.00,0.00,13.79,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.69,0.00,0.00,0.00,0.00,6.90,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.59,20.69,0.00,0.00,0.00,6.90,0.00,0.00,0.00,20.69,6.90,6.90,6.90,0.00,6.90,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,10.34,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The Scientist,Coldplay," Come up to meet you, tell you I'm sorry You don't know how lovely you are I had to find you, tell you I need you Tell you I set you apart Tell me your secrets, and ask me your questions Oh let's go back to the start Running in circles, coming up tails Heads on a science apart  Nobody said it was easy It's such a shame for us to part Nobody said it was easy No one ever said it would be this hard Oh take me back to the start  I was just guessing at numbers and figures Pulling your puzzles apart Questions of science, science and progress Do not speak as loud as my heart Tell me you love me, come back and haunt me Oh and I rush to the start Running in circles, chasing our tails Coming back as we are  Nobody said it was easy It's such a shame for us to part Nobody said it was easy No one ever said it would be so hard I'm going back to the start",n,180,12.41,92.56,88.91,57.28,180.00,9.44,95.56,58.89,25.00,17.78,7.78,2.78,7.22,0.00,0.00,7.22,3.89,11.11,10.00,6.67,5.56,4.44,28.33,5.56,1.67,0.56,1.11,1.11,5.00,3.33,1.67,1.11,0.00,0.56,18.89,0.00,0.00,0.00,0.00,10.00,3.33,0.56,1.67,2.22,1.11,2.22,5.56,0.00,4.44,1.11,1.67,1.11,0.00,0.00,0.00,7.22,3.89,0.56,2.22,0.56,0.00,6.67,16.67,1.67,16.67,5.56,7.78,6.11,1.67,1.11,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,1.67,0.00,7.22,0.00,3.89,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00
True Love,Coldplay," For a second, I was in control I had it once, I lost it though And all along the fire below Would rise  And I wish you could have let me know What's really going on below I've lost you now, you let me go But one last time  Tell me you love me If you don't, then lie Lie to me  Remember once upon a time When I was yours and you were blind The fire would sparkle in your eyes And mine  So tell me you love me If you don't then lie Lie to me Just tell me you love me If you don't then lie Lie to me If you don't then lie Lie to me  And call it true Call it true love Call it true Call it true love ",n,135,2.15,72.32,92.47,97.36,135.00,2.22,93.33,65.93,28.89,23.70,14.07,0.00,9.63,0.00,0.00,5.19,2.96,8.89,11.85,4.44,12.59,2.96,20.00,2.96,0.00,1.48,2.96,0.74,8.15,6.67,1.48,0.00,0.00,1.48,18.52,0.00,0.00,0.00,0.00,14.07,1.48,0.74,5.93,2.96,3.70,5.19,2.96,1.48,0.00,1.48,5.19,0.74,0.74,0.00,0.00,7.41,3.70,1.48,2.22,0.00,0.00,5.19,9.63,4.44,14.81,2.22,5.19,8.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,2.96,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00
Up & Up,Coldplay," Fixing up a car to drive in it again Searching for the water, hoping for the rain Up and up Up and up Down upon the canvas, working meal to meal Waiting for a chance to pick your orange field Up and up Up and up See a pearl form, a diamond in the rough See a bird soaring high above the flood It's in your blood, It's in your blood Underneath the storm an umbrella is saying Sitting with the poison takes away the pain Up and up Up and up  We�re gonna get it, get it together I know we�re gonna get it, get it together somehow We�re gonna get it, get it together and flower We�re gonna get it, get it together I know, we�re gonna get it, get it together and float We�re gonna get it, get it together and go Up, and up, and up  Lying in the gutter, aiming for the moon Trying to empty out the ocean with a spoon Up and up Up and up How come people suffer? How come people part? How come people struggle? How come people Break your heart? Break your heart? Yes I wanna grow, yes I want to feel Yes I wanna know, show me how to Heal it up, heal it up See the forest there in every seed Angels in the marble waiting to be freed Just need love, Just need love When the going is rough, saying  We�re gonna get it, get it together I know we�re gonna get it, get it together somehow We�re gonna get it, get it together and flower We�re gonna get it, get it together I know, we�re gonna get it, get it together and float We�re gonna get it, get it together and go  And you can say what is, or fight for it Close your mind or take a risk You can say it�s mine and clench your fist Or see each sunrise as a gift  Oh oh oh Oh oh oh Oh oh oh Oh oh oh whoa oh  We�re gonna get it, get it together I know we�re gonna get it, get it together somehow We�re gonna get it, get it together and flower We�re gonna get it, get it together I know, we�re gonna get it, get it together and float We�re gonna get it, get it together and go Up, and up, and We�re gonna get it, get it together I know we�re gonna get it, get it together somehow We�re gonna get it, get it together and flower We�re gonna get it, get it together I know, we�re gonna get it, get it together and float We�re gonna get it, get it together and go Up, and up, and up  Oh oh oh Oh oh whoa oh Oh oh oh Oh oh whoa oh  Fixing up a car to drive in it again When you�re in pain, when you think you�ve had enough Don�t ever give up  Believe in love",n,499,54.17,96.87,90.47,19.77,83.17,8.02,93.19,50.10,21.24,9.82,2.61,4.81,2.40,0.00,0.00,11.42,4.81,12.22,3.01,3.61,8.02,0.20,30.86,1.20,0.20,1.80,0.00,0.60,3.21,1.40,1.80,0.40,0.60,0.40,14.83,0.00,0.00,0.00,0.00,7.01,2.40,1.20,1.20,2.00,0.40,0.60,3.21,1.40,0.80,1.00,3.01,0.80,1.00,0.00,0.60,27.66,10.22,0.60,6.61,10.02,0.20,0.40,24.05,5.61,24.45,7.62,14.63,1.80,0.20,0.00,0.00,0.00,0.20,0.00,11.42,0.00,4.81,0.60,5.01,0.60,16.23,0.00,9.22,0.00,0.00,1.00,0.00,0.00,0.00,6.01,0.00,0.00
Up In Flames,Coldplay," So it's over This time I know it's gone Saltwater Tasted it too long I only know I'm wrong Now I know it's gone  Up in flames Up in flames Up in flames We have slowly gone  So it's over This time you're flying on This time I know no song Can stop it's lonely burn Can stop it slowly going  Up in flames Up in flames Up in flames We have slowly gone Up in flames Up in flames Up in flames We have slowly gone Oh, we have slowly gone Can we pour some water on?",n,98,47.35,72.97,99.00,4.76,98.00,1.02,88.78,57.14,21.43,11.22,5.10,5.10,1.02,0.00,0.00,10.20,0.00,22.45,14.29,5.10,2.04,1.02,23.47,1.02,0.00,0.00,0.00,1.02,2.04,0.00,2.04,0.00,0.00,1.02,6.12,0.00,0.00,0.00,0.00,5.10,4.08,0.00,0.00,1.02,0.00,0.00,3.06,0.00,1.02,1.02,2.04,0.00,0.00,0.00,2.04,19.39,5.10,0.00,11.22,0.00,3.06,7.14,19.39,1.02,42.86,13.27,23.47,11.22,0.00,1.02,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,1.02,0.00,9.18,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,7.14,0.00,0.00
Up With The Birds,Coldplay,"The birds they sang The break of day Start again I hear them say It's so hard to just walk away The birds they sang All a choir Start again a little higher It's a spark in a sea of grey The sky is blue Dreamed that lie til it's true Then taking back the punch I threw My arms turn wings Oh those clumsy things Send me up to that wonderful world And then I'm up with the birds Might have to go, where they don't know my name Float all over the world just to see her again But I won't show or feel any pain Even though all my armor might rust in the rain A simple plot But I know one day Good things are coming our way A simple plot But I know one day Good things are coming our way Oh yeah!",n,148,46.80,39.34,99.00,64.20,148.00,1.35,89.86,53.38,17.57,11.49,6.76,1.35,0.00,0.68,2.70,6.08,9.46,9.46,8.11,6.76,6.76,1.35,20.95,5.41,0.68,0.68,1.35,2.70,3.38,2.70,0.68,0.00,0.00,0.00,7.43,0.00,0.00,0.68,0.00,10.81,2.70,0.00,0.00,2.70,2.70,3.38,8.11,2.70,3.38,2.03,1.35,0.68,0.68,0.00,0.00,6.08,1.35,0.00,2.70,2.03,0.00,2.03,14.86,4.73,22.97,4.73,10.14,8.11,0.00,2.70,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.68,1.35,0.00,5.41,0.00,0.68,0.00,0.00,0.00,0.68,0.00,0.00,4.05,0.00,0.00
Us Against The World,Coldplay," Oh morning come bursting the clouds, amen Lift off this blindfold, let me see again Bring back the water, let your ships roll in In my heart she left a hole The tightrope that I�m walking just sways and ties The devil as he�s talking with those angel�s eyes And I just want to be there when the lightning strikes And the saints go marching in  And sing Slow it down Through chaos as it swirls It's us against the world  Like a river to a raindrop I lost a friend My drunken hazard Daniel in a lion's den And tonight I know it all has to begin again So whatever you do, don�t let go  If we could float away Fly up to the surface and just start again Lift off before trouble just erodes us in the rain Just erodes us in the rain Just erodes us and see roses in the rain saying  Slow it down Slow it down Through chaos as it swirls It's us against the world  Through chaos as it swirls It's us against the world",n,182,69.94,72.71,81.48,4.02,182.00,11.54,84.07,60.44,17.58,9.89,3.85,3.85,1.10,1.10,0.00,7.69,9.89,17.03,7.14,7.14,7.69,0.55,17.03,4.95,3.30,1.10,0.00,0.55,2.20,0.00,2.20,0.00,0.00,0.55,7.69,0.00,0.55,0.55,0.55,4.40,0.55,0.00,1.65,0.55,0.55,2.20,3.30,2.20,1.10,0.00,2.75,1.10,0.55,0.00,1.10,8.24,4.40,0.55,2.20,0.00,1.10,1.10,10.99,0.55,22.53,5.49,11.54,7.69,0.00,1.10,0.55,0.00,1.65,0.00,0.55,0.00,0.00,0.00,0.55,0.00,6.59,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00
Warning Sign,Coldplay," A warning sign I missed the good part then I realized I started looking and the bubble burst I started looking for excuses  Come on in I've gotta tell you what a state I'm in I've gotta tell you in my loudest tones That I started looking for a warning sign  When the truth is I miss you Yeah the truth is That I miss you so  A warning sign It came back to haunt me and I realized That you were an island and I passed you by And you were an island to discover  Come on in I've gotta tell you what a state I'm in I've gotta tell you in my loudest tones That I started looking for a warning sign  When the truth is I miss you Yeah the truth is That I miss you so  And I'm tired I should not have let you go So I crawl back into your open arms Yes I crawl back into your open arms And I crawl back into your open arms Yes I crawl back into your open arms",n,182,20.83,66.98,99.00,4.02,182.00,9.89,92.86,60.44,28.02,23.63,14.84,0.00,8.79,0.00,0.00,4.40,7.69,9.89,8.79,5.49,6.59,0.55,26.37,1.65,1.10,2.20,0.00,0.55,7.69,2.75,4.95,0.00,0.00,2.75,11.54,0.00,0.00,0.00,0.00,4.95,1.65,0.00,0.55,0.00,2.20,0.55,3.30,2.20,1.10,0.00,2.75,2.20,0.55,0.00,0.00,2.75,0.00,0.00,0.00,0.55,2.20,6.04,14.84,2.75,20.33,4.95,11.54,6.59,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,2.20,2.20,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00
We Never Change,Coldplay," I wanna live life and never be cruel I wanna live life and be good to you And I wanna fly and never come down And live my life and have friends around  We never change, do we? no, no We never learn, do we?  So I wanna live in a wooden house I wanna live life and always be true I wanna live life and be good to you And I wanna fly and never come down And live my life and have friends around  We never change, do we? No, no We never learn, do we?  So I wanna live in a wooden house Where making more friends would be easy Oh, and I don't have a soul to save Yes, and I sin every single day  We never change, do we? We never learn, do we?  So I wanna live in a wooden house Where making more friends would be easy I wanna live where the sun comes out",n,162,1.00,59.76,58.07,72.05,23.14,2.47,98.15,64.81,17.28,17.28,8.64,7.41,1.23,0.00,0.00,0.00,3.09,6.79,17.28,10.49,10.49,8.64,24.07,4.32,1.23,1.85,0.62,2.47,4.94,3.70,1.23,0.00,0.62,0.00,11.11,0.00,2.47,0.00,0.00,19.75,1.85,3.09,7.41,0.00,7.41,0.00,0.00,0.00,0.00,0.00,9.88,0.00,9.88,0.00,0.00,12.35,9.88,0.00,1.23,1.23,0.00,0.00,20.37,6.17,19.14,4.94,6.79,7.41,1.85,0.00,1.85,0.00,1.23,0.00,7.41,0.00,0.00,0.62,0.62,0.00,10.49,0.00,6.17,0.00,0.00,3.70,0.00,0.00,0.00,0.62,0.00,0.00
White Shadows,Coldplay," When I was a young boy I tried to listen And I wanna feel like that Little white shadows Blink and miss them Part of a system, I am  If you ever feel like something's missing Things you'll never understand Little white shadows Sparkle and glisten Part of a system, a plan  All this noise, I'm waking up All this space, I'm taking up All this sound is breaking up Ohhhhhhhh  Maybe you'll get what you wanted Maybe you'll stumbled upon it Everything you ever wanted In a permanent state Maybe you'll know when you see it Maybe if you say it, you'll mean it And when you find it you'll keep it In a permanent state, a permanent state  When I was a young boy I tried to listen Don't you wanna feel like that? You're part of the human race All of the stars and the outer space Part of the system, a plan  All this noise, I'm waking up All this space I'm taking up I cannot hear, you're breaking up Whooaaaaaaa  Maybe you'll get what you wanted Maybe you'll stumbled upon it Everything you ever wanted In a permanent state Maybe you'll know when you see it Maybe if you say it, you'll mean it And when you find it you'll keep it In a permanent state, a permanent state  Swim out on a sea of faces Tide of the human races Oh, an answer now is what I need... See it in a new sun rising See it break on your horizon Oh, come on love, stay with me...",n,264,23.36,95.56,80.39,20.07,88.00,8.33,90.53,58.71,25.76,15.15,4.92,0.00,9.85,0.00,0.38,10.61,7.58,11.36,9.85,7.20,5.68,1.14,23.48,4.92,1.14,3.41,0.00,3.79,1.14,0.38,0.76,0.00,0.00,0.76,14.77,0.00,0.00,0.00,0.76,16.29,4.17,0.00,3.79,4.55,4.55,1.52,6.44,2.27,3.03,1.14,0.76,0.38,0.00,0.00,0.00,5.68,0.38,1.52,2.27,1.52,0.00,3.79,14.77,5.68,19.32,2.27,9.09,7.95,0.00,0.38,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,1.14,0.00,15.15,2.27,5.30,0.00,0.00,0.38,0.00,0.00,0.00,7.20,0.00,0.00
X Marks the Spot,Coldplay," So I race for it  Stare into darkness, staring at doom My heart go boom, b-boom, boom Stare into darkness, admit defeat Coming home and I'm finding no peace  And I know, and I know, and I know I know I'm unlocked And I know, and I know, and I know I know what you've got  So I put my hands up to the sky, feeling like I've got a rocket ship that I wanna ride Put my hands up to the sky, that's alright Wherever you are, I'll find that treasure So I race for it Wherever you are, I'll find that treasure So I race for it  Stare into darkness, staring at doom You make my heart go boom, b-boom, boom Superhero, a masterpiece Been innocent, but a sinner in me  And I know, and I know and I know I know I'm in love And I know, and I know and I know I know when I'm lost  I just put my hands up to the sky, feeling like I've got a rocket ship that I wanna ride Put my hands up to the sky, feeling inside Wherever you are, I'll find that treasure I just put my hands up to the sky, feeling like I've got a rocket, eyes on the prize Put my hands up to the sky, I'm gonna find Wherever you are, I'll find that treasure So I race for it Wherever you are, I'll find that treasure So I race for it, yeah, yeah Wherever you are, I'll find that treasure  So I race for it And I know, and I know, and I know I know what I've got So I race for it, X marks the spot So I put my hands up to the sky, feeling like I've got a rocket ship that I wanna ride Put my hands up to the sky, that's alright Wherever you are, I'll find that treasure So I race for it Wherever you are, I'll find that treasure So I race for it",n,342,7.82,9.43,99.00,79.17,342.00,9.65,93.57,59.94,28.95,21.93,19.01,0.00,2.92,0.00,0.00,7.02,4.68,11.11,9.65,6.43,10.82,0.29,26.61,0.00,1.17,3.22,0.00,0.00,5.26,4.09,1.17,0.00,0.00,0.88,3.51,0.00,0.00,0.00,0.00,11.99,10.53,0.29,0.88,0.00,0.00,0.29,8.19,2.63,1.75,3.80,3.51,3.22,0.00,0.00,0.00,5.85,0.29,0.88,2.63,2.05,0.58,2.63,15.50,3.80,14.33,4.39,9.65,0.29,0.00,0.00,0.29,2.34,0.88,0.00,2.92,0.00,0.88,1.17,0.00,0.00,17.54,0.00,10.82,0.00,0.00,0.00,0.00,0.58,0.00,6.14,0.00,0.00
"'Til Kingdom Come",Coldplay,"   Steal my heart and hold my tongue I feel my time, my time has come ""Let me in, unlock the door"" I've never felt this way before  And the wheels just keep on turning The drummer begins to drum I don't know which way I'm going I don't know which way I've come  Hold my head inside your hands I need someone who understands I need someone, someone who hears For you, I've waited all these years  For you I'd wait 'til kingdom come Until my day, my day is done And say you'll come and set me free Just say you'll wait, you'll wait for me  In your tears and in your blood In your fire and in your flood I hear you laugh, I heard you sing I wouldn't change a single thing  And the wheels just keep on turning The drummers begin to drum I don't know which way I'm going I don't know what I've become  For you I'd wait 'til kingdom come Until my day, my day is done And say you'll come and set me free Just say you'll wait, you'll wait for me Just say you'll wait, you'll wait for me",n,200,4.35,69.14,99.00,34.44,200.00,5.50,92.00,57.50,31.50,25.50,16.50,0.00,9.00,0.00,0.00,6.00,3.00,9.50,14.00,3.00,5.50,3.00,33.50,2.00,0.50,3.00,0.50,1.00,2.50,1.50,1.00,0.00,0.00,0.50,15.50,0.00,0.00,0.00,0.00,8.50,4.00,0.50,1.50,1.50,1.00,0.00,7.50,0.00,5.00,2.00,2.50,2.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00,2.50,24.00,5.00,22.00,4.50,6.50,11.00,0.00,2.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,11.50,0.00,0.00
